年度季別,全國
101Q3,78.96
101Q4,79.75
102Q1,82.82
102Q2,86.71
102Q3,88.94
102Q4,90.77
103Q1,94.03
103Q2,95.65
103Q3,97.68
103Q4,99.07
104Q1,100.77
104Q2,100.15
104Q3,100.08
104Q4,99.6
105Q1,99.32
105Q2,100.76
105Q3,100.69
105Q4,99.09
106Q1,99.42
106Q2,99.86
106Q3,100.69
106Q4,100.6
107Q1,100.62
107Q2,100.08
107Q3,100.63
107Q4,100.8
108Q1,101.09
108Q2,101.59
108Q3,103.57
108Q4,104.14
109Q1,104.69
109Q2,105.39
109Q3,106.89
109Q4,108.17
110Q1,110.61
110Q2,112.42
110Q3,114.83
110Q4,117.5
111Q1,121.01
111Q2,123.97
