年度季別,全國
111Q3,132.17
111Q2,128.33
111Q1,121.05
110Q4,106.5
110Q3,98.83
110Q2,95.25
110Q1,95.17
109Q4,94.34
109Q3,94.64
109Q2,92.8
109Q1,89.17
108Q4,87.28
108Q3,86.46
108Q2,84.84
108Q1,85.07
107Q4,83.81
107Q3,79.04
107Q2,79.65
107Q1,77.8
106Q4,79.82
106Q3,75.9
106Q2,75.67
106Q1,75.61
105Q4,73.69
105Q3,76.44
105Q2,71.09
105Q1,73.27
104Q4,84.09
104Q3,89.89
104Q2,92.35
104Q1,90.28
103Q4,91.69
103Q3,93.41
103Q2,92.34
103Q1,90.63
102Q4,92.96
102Q3,87.38
102Q2,86.92
102Q1,84.77
101Q4,82.37
101Q3,77.48
101Q2,81.43
101Q1,77.01
100Q4,74.62
100Q3,76.34
100Q2,75.9
100Q1,73.42
099Q4,70.6
099Q3,68.91
099Q2,67.46
099Q1,65.51
098Q4,63.28
098Q3,59.35
098Q2,59.68
098Q1,57.6
097Q4,62.15
097Q3,62.73
097Q2,62.53
097Q1,60.35
096Q4,60.66
096Q3,58.68
096Q2,57.87
096Q1,57.25
095Q4,53.97
095Q3,53.31
095Q2,52.04
095Q1,52.67
094Q4,50.83
094Q3,48.71
094Q2,49.91
094Q1,49.83
093Q4,49.64
093Q3,48.66
093Q2,49.33
093Q1,46.34
092Q4,45.97
092Q3,45.68
092Q2,44.36
092Q1,45.37
091Q4,45.07
091Q3,45.12
091Q2,44.48
091Q1,44.54
090Q4,46.05
090Q3,48.75
090Q2,47.54
090Q1,51.04
089Q4,50.22
089Q3,49.81
089Q2,50.76
089Q1,49.54
