統計期,期中人口(人),平均匯率(元/美元),經濟成長率(%),國內生產毛額GDP(名目值，百萬元),國內生產毛額GDP(名目值，百萬美元),平均每人GDP(名目值，元),平均每人GDP(名目值，美元),國民所得毛額GNI(名目值，百萬元),國民所得毛額GNI(名目值，百萬美元),平均每人GNI(名目值，元),平均每人GNI(名目值，美元),國民所得(名目值，百萬元),國民所得(名目值，百萬美元),平均每人所得(名目值，元),平均每人所得(名目值，美元)
40年,"7,758,202",10.3,-,"12,327","1,197","1,589",154,"12,320","1,196","1,588",154,"12,276","1,192","1,582",154
41年,"8,046,915",10.3,12,"17,275","1,677","2,147",208,"17,271","1,677","2,146",208,"17,119","1,662","2,127",207
42年,"8,333,009",15.55,9.49,"23,036","1,481","2,764",178,"23,032","1,481","2,764",178,"22,712","1,461","2,726",175
43年,"8,645,264",15.55,9.64,"25,315","1,628","2,928",188,"25,311","1,628","2,928",188,"24,759","1,592","2,864",184
44年,"8,967,001",15.55,7.72,"30,163","1,940","3,364",216,"30,160","1,940","3,363",216,"29,326","1,886","3,270",210
45年,"9,289,545",24.78,6.17,"34,672","1,399","3,732",151,"34,665","1,399","3,732",151,"33,546","1,354","3,611",146
46年,"9,597,690",24.78,7.81,"40,549","1,636","4,225",170,"40,494","1,634","4,219",170,"38,965","1,572","4,060",164
47年,"9,920,227",24.78,7.68,"45,498","1,836","4,586",185,"45,317","1,829","4,568",184,"43,409","1,752","4,376",177
48年,"10,288,327",36.38,8.81,"52,523","1,444","5,105",140,"52,367","1,439","5,090",140,"49,981","1,374","4,858",134
49年,"10,667,705",36.38,7.2,"63,394","1,743","5,943",163,"63,367","1,742","5,940",163,"60,479","1,662","5,669",156
50年,"11,030,385",40,7.05,"71,122","1,778","6,448",161,"71,039","1,776","6,440",161,"67,543","1,689","6,123",153
51年,"11,392,513",40,8.93,"78,405","1,960","6,882",172,"78,295","1,957","6,872",172,"74,220","1,856","6,515",163
52年,"11,762,101",40,10.74,"88,732","2,218","7,544",189,"88,619","2,215","7,534",188,"84,162","2,104","7,155",179
53年,"12,137,143",40,12.63,"103,665","2,592","8,541",214,"103,681","2,592","8,542",214,"98,512","2,463","8,117",203
54年,"12,511,863",40,11.89,"114,762","2,869","9,172",229,"114,568","2,864","9,157",229,"108,617","2,715","8,681",217
55年,"12,874,153",40,9.63,"128,272","3,207","9,964",249,"128,175","3,204","9,956",249,"121,272","3,032","9,420",235
56年,"13,210,344",40,11.15,"148,348","3,709","11,230",281,"148,025","3,701","11,205",280,"139,668","3,492","10,573",264
57年,"13,548,537",40,9.71,"173,008","4,325","12,769",319,"172,550","4,314","12,736",318,"162,285","4,057","11,978",299
58年,"14,068,984",40,9.59,"200,688","5,017","14,265",357,"200,441","5,011","14,247",356,"187,701","4,693","13,341",334
59年,"14,582,944",40,11.51,"231,397","5,785","15,868",397,"230,985","5,775","15,839",396,"216,189","5,405","14,825",371
60年,"14,913,564",40,13.43,"269,084","6,727","18,043",451,"268,962","6,724","18,035",451,"251,184","6,280","16,843",421
61年,"15,220,495",40,13.87,"322,504","8,063","21,189",530,"322,572","8,064","21,193",530,"299,915","7,498","19,705",493
62年,"15,505,121",38.25,12.83,"418,460","10,940","26,989",706,"418,344","10,937","26,981",705,"385,805","10,086","24,882",651
63年,"15,784,817",38,2.67,"560,085","14,739","35,483",934,"559,908","14,734","35,471",933,"508,314","13,377","32,203",847
64年,"16,075,128",38,6.19,"601,778","15,836","37,435",985,"598,434","15,748","37,227",980,"538,360","14,167","33,490",881
65年,"16,401,413",38,14.28,"721,529","18,988","43,992","1,158","716,513","18,856","43,686","1,150","645,294","16,981","39,344","1,035"
66年,"16,730,895",38,11.41,"845,592","22,252","50,541","1,330","840,468","22,118","50,234","1,322","757,030","19,922","45,247","1,191"
67年,"17,042,272",36.95,13.56,"1,011,422","27,373","59,348","1,606","1,009,091","27,310","59,211","1,602","913,699","24,728","53,614","1,451"
68年,"17,372,779",36,8.83,"1,219,496","33,875","70,196","1,950","1,219,896","33,886","70,219","1,951","1,098,674","30,519","63,241","1,757"
69年,"17,704,538",36,8.04,"1,522,495","42,292","85,995","2,389","1,520,389","42,233","85,876","2,385","1,363,191","37,866","76,997","2,139"
70年,"18,029,982",36.79,7.1,"1,804,431","49,047","100,079","2,720","1,794,778","48,784","99,544","2,706","1,612,497","43,830","89,434","2,431"
71年,"18,354,855",39.12,4.81,"1,938,023","49,540","105,586","2,699","1,937,341","49,523","105,549","2,698","1,741,516","44,517","94,880","2,425"
72年,"18,653,146",40.06,9.02,"2,169,446","54,155","116,305","2,903","2,172,702","54,236","116,479","2,908","1,945,865","48,574","104,318","2,604"
73年,"18,929,866",39.62,10.05,"2,418,240","61,036","127,747","3,224","2,448,215","61,792","129,331","3,264","2,205,432","55,665","116,505","2,941"
74年,"19,191,510",39.86,4.81,"2,535,056","63,599","132,093","3,314","2,582,170","64,781","134,548","3,376","2,326,610","58,370","121,231","3,041"
75年,"19,411,454",37.85,11.51,"2,965,448","78,347","152,768","4,036","3,042,373","80,380","156,731","4,141","2,772,721","73,256","142,839","3,774"
76年,"19,617,046",31.87,12.75,"3,344,935","104,956","170,512","5,350","3,418,256","107,256","174,249","5,468","3,108,455","97,535","158,457","4,972"
77年,"19,839,704",28.61,8.02,"3,615,662","126,378","182,244","6,370","3,713,008","129,780","187,150","6,541","3,383,964","118,279","170,565","5,962"
78年,"20,055,492",26.41,8.72,"4,032,464","152,687","201,065","7,613","4,133,153","156,500","206,086","7,803","3,791,784","143,574","189,065","7,159"
