年　　別,平均每人GDP-金額 (元),平均每人GDP-年增率(％),平均每人GDP-折合美元 (美元),平均每人GDP-年增率(％),平均每人GNI-金額 (元),平均每人GNI-折合美元 (美元),平均每人國民所得-金額 (元),平均每人國民所得-折合美元 (美元),平均每人民間消費支出-金額 (元),平均每人民間消費支出-折合美元 (美元),,,,
,,－,,－,,,,,,,,,,
民國 40年,"1,589",,154,,"1,588",154,"1,582",154,"1,157",112,,,,
  41年,"2,147",35.12,208,35.06,"2,146",208,"2,127",207,"1,590",154,,,,
  42年,"2,764",28.74,178,-14.42,"2,764",178,"2,726",175,"2,094",135,,,,
  43年,"2,928",5.93,188,5.62,"2,928",188,"2,864",184,"2,172",140,,,,
  44年,"3,364",14.89,216,14.89,"3,363",216,"3,270",210,"2,428",156,,,,
  45年,"3,732",10.94,151,-30.09,"3,732",151,"3,611",146,"2,629",106,,,,
  46年,"4,225",13.21,170,12.58,"4,219",170,"4,060",164,"2,918",118,,,,
  47年,"4,586",8.54,185,8.82,"4,568",184,"4,376",177,"3,157",127,,,,
  48年,"5,105",11.32,140,-24.32,"5,090",140,"4,858",134,"3,489",96,,,,
  49年,"5,943",16.42,163,16.43,"5,940",163,"5,669",156,"4,012",110,,,,
  50年,"6,448",8.50,161,-1.23,"6,440",161,"6,123",153,"4,331",108,,,,
  51年,"6,882",6.73,172,6.83,"6,872",172,"6,515",163,"4,595",115,,,,
  52年,"7,544",9.62,189,9.88,"7,534",188,"7,155",179,"4,780",119,,,,
  53年,"8,541",13.22,214,13.23,"8,542",214,"8,117",203,"5,328",133,,,,
  54年,"9,172",7.39,229,7.01,"9,157",229,"8,681",217,"5,750",144,,,,
  55年,"9,964",8.63,249,8.73,"9,956",249,"9,420",235,"6,040",151,,,,
  56年,"11,230",12.71,281,12.85,"11,205",280,"10,573",264,"6,692",167,,,,
  57年,"12,769",13.70,319,13.52,"12,736",318,"11,978",299,"7,603",190,,,,
  58年,"14,265",11.72,357,11.91,"14,247",356,"13,341",334,"8,201",205,,,,
  59年,"15,868",11.24,397,11.20,"15,839",396,"14,825",371,"8,870",222,,,,
  60年,"18,043",13.71,451,13.60,"18,035",451,"16,843",421,"9,687",242,,,,
  61年,"21,189",17.44,530,17.52,"21,193",530,"19,705",493,"10,955",274,,,,
  62年,"26,989",27.37,706,33.21,"26,981",705,"24,882",651,"13,526",354,,,,
  63年,"35,483",31.47,934,32.29,"35,471",933,"32,203",847,"19,220",506,,,,
  64年,"37,435",5.50,985,5.46,"37,227",980,"33,490",881,"21,222",558,,,,
  65年,"43,992",17.52,"1,158",17.56,"43,686","1,150","39,344","1,035","22,810",600,,,,
  66年,"50,541",14.89,"1,330",14.85,"50,234","1,322","45,247","1,191","25,877",681,,,,
  67年,"59,348",17.43,"1,606",20.75,"59,211","1,602","53,614","1,451","29,606",801,,,,
  68年,"70,196",18.28,"1,950",21.42,"70,219","1,951","63,241","1,757","35,328",981,,,,
  69年,"85,995",22.51,"2,389",22.51,"85,876","2,385","76,997","2,139","43,911","1,220",,,,
  70年,"100,079",16.38,"2,720",13.86,"99,544","2,706","89,434","2,431","51,381","1,397",,,,
  71年,"105,586",5.50,"2,699",-0.77,"105,549","2,698","94,880","2,425","54,704","1,398",,,,
  72年,"116,305",10.15,"2,903",7.56,"116,479","2,908","104,318","2,604","58,207","1,453",,,,
  73年,"127,747",9.84,"3,224",11.06,"129,331","3,264","116,505","2,941","62,744","1,584",,,,
  74年,"132,093",3.40,"3,314",2.79,"134,548","3,376","121,231","3,041","65,592","1,646",,,,
  75年,"152,768",15.65,"4,036",21.79,"156,731","4,141","142,839","3,774","70,169","1,854",,,,
  76年,"170,512",11.61,"5,350",32.56,"174,249","5,468","158,457","4,972","78,262","2,456",,,,
  77年,"182,244",6.88,"6,370",19.07,"187,150","6,541","170,565","5,962","89,153","3,116",,,,
  78年,"201,065",10.33,"7,613",19.51,"206,086","7,803","189,065","7,159","103,975","3,937",,,,
  79年,"220,637",9.73,"8,205",7.78,"226,418","8,420","206,065","7,663","115,464","4,294",,,,
  80年,"244,739",10.92,"9,125",11.21,"251,345","9,372","228,358","8,514","127,865","4,768",,,,
  81年,"270,928",10.70,"10,768",18.01,"276,753","11,000","248,572","9,880","143,437","5,701",,,,
  82年,"296,672",9.50,"11,242",4.40,"302,119","11,448","271,633","10,293","157,972","5,986",,,,
  83年,"321,502",8.37,"12,150",8.08,"326,588","12,343","294,112","11,115","176,163","6,658",,,,
  84年,"347,526",8.09,"13,119",7.98,"352,725","13,315","315,771","11,920","186,626","7,045",,,,
  85年,"374,569",7.78,"13,641",3.98,"379,656","13,826","340,354","12,395","203,906","7,426",,,,
  86年,"402,380",7.42,"14,020",2.78,"406,483","14,163","364,972","12,717","219,234","7,639",,,,
  87年,"428,946",6.60,"12,820",-8.56,"432,018","12,911","383,537","11,463","234,303","7,002",,,,
